Variety,Cropping_System,Sowing_Date,Harvest_Date,Yield
COPROSEM 2,RIEGO,2008-05-28,2008-09-09,5812.5
F2000,RIEGO,2013-01-15,2013-05-08,9534.692442
F2000,RIEGO,2013-01-15,2013-05-08,5824.830233
F2000,RIEGO,2013-01-15,2013-05-08,8501.274419
F60,RIEGO,2013-01-15,2013-05-08,5832.235465
F60,RIEGO,2013-01-15,2013-05-08,3733.6255810000002
F60,RIEGO,2013-01-15,2013-05-08,5931.218605
F733,RIEGO,2013-01-15,2013-05-08,5561.559302000001
F733,RIEGO,2013-01-15,2013-05-08,5968.7790700000005
F733,RIEGO,2013-01-15,2013-05-08,7851.7168599999995
F50,RIEGO,2007-03-28,2007-07-21,7687.5
ONLY RICE 228,RIEGO,2012-05-04,2012-08-29,5000.0
F50,RIEGO,2013-01-15,2013-05-12,4975.348837
F50,RIEGO,2013-01-15,2013-05-12,5240.723837
F50,RIEGO,2013-01-15,2013-05-12,4889.000581
LAGUNAS,RIEGO,2011-05-02,2011-08-29,5000.0
F2000,RIEGO,2012-09-06,2013-01-03,4721.952907
F2000,RIEGO,2012-09-06,2013-01-03,4982.787209
F2000,RIEGO,2012-09-06,2013-01-03,4248.836628
F2000,RIEGO,2012-09-06,2013-01-03,4284.686919
F2000,RIEGO,2013-02-21,2013-06-20,4126.227907
F2000,RIEGO,2013-02-21,2013-06-20,6524.069767
F2000,RIEGO,2013-02-21,2013-06-20,5686.360465
F2000,RIEGO,2013-02-21,2013-06-20,5607.209302
F2000,RIEGO,2013-04-02,2013-07-30,6974.767442
F2000,RIEGO,2013-04-02,2013-07-30,4884.222384000001
F2000,RIEGO,2013-04-02,2013-07-30,6972.878634000001
F2000,RIEGO,2013-04-02,2013-07-30,5005.638081
F60,RIEGO,2013-02-21,2013-06-20,5033.763081
F60,RIEGO,2013-02-21,2013-06-20,4774.491279
F60,RIEGO,2013-02-21,2013-06-20,4781.662791
F60,RIEGO,2013-02-21,2013-06-20,3899.5906979999995
F60,RIEGO,2013-04-02,2013-07-30,5582.430959
F60,RIEGO,2013-04-02,2013-07-30,5080.338663
F60,RIEGO,2013-04-02,2013-07-30,4703.7375
F60,RIEGO,2013-04-02,2013-07-30,5384.381686
F733,RIEGO,2012-09-06,2013-01-03,5230.094477000001
F733,RIEGO,2012-09-06,2013-01-03,6672.293022999999
F733,RIEGO,2012-09-06,2013-01-03,5130.824419
F733,RIEGO,2012-09-06,2013-01-03,4879.350872
F733,RIEGO,2013-02-21,2013-06-20,5881.023256
F733,RIEGO,2013-02-21,2013-06-20,4966.511628
F733,RIEGO,2013-02-21,2013-06-20,4762.299419
F733,RIEGO,2013-02-21,2013-06-20,4326.63314
F733,RIEGO,2013-04-02,2013-07-30,5711.444477
F733,RIEGO,2013-04-02,2013-07-30,7838.088372
F733,RIEGO,2013-04-02,2013-07-30,5503.096512
F733,RIEGO,2013-04-02,2013-07-30,6382.953488
F2000,RIEGO,2012-11-25,2013-03-25,4348.386628
F2000,RIEGO,2012-11-25,2013-03-25,4696.002907
F2000,RIEGO,2012-11-25,2013-03-25,3890.697674
F2000,RIEGO,2012-11-25,2013-03-25,3886.627907
F60,RIEGO,2012-11-25,2013-03-25,4149.493605
F60,RIEGO,2012-11-25,2013-03-25,4092.5872090000003
F60,RIEGO,2012-11-25,2013-03-25,4108.7209299999995
F60,RIEGO,2012-11-25,2013-03-25,4987.281977000001
F733,RIEGO,2012-11-25,2013-03-25,4937.042151
F733,RIEGO,2012-11-25,2013-03-25,4309.273256
F733,RIEGO,2012-11-25,2013-03-25,4292.267442
F733,RIEGO,2012-11-25,2013-03-25,4724.418605
F369,RIEGO,2008-04-11,2008-08-11,8500.0
F2000,RIEGO,2013-03-13,2013-07-13,7979.796512000001
F2000,RIEGO,2013-03-13,2013-07-13,5030.875581
F2000,RIEGO,2013-03-13,2013-07-13,4223.665115999999
F2000,RIEGO,2013-03-13,2013-07-13,4405.116279
F60,RIEGO,2013-03-13,2013-07-13,5342.093022999999
F60,RIEGO,2013-03-13,2013-07-13,8424.017442
F60,RIEGO,2013-03-13,2013-07-13,7907.547093000001
F60,RIEGO,2013-03-13,2013-07-13,7694.145348999999
F733,RIEGO,2011-02-11,2011-06-13,6641.729651
F733,RIEGO,2011-02-11,2011-06-13,7320.218023
F733,RIEGO,2011-02-11,2011-06-13,5742.674419
F733,RIEGO,2011-02-11,2011-06-13,8416.27907
F733,RIEGO,2013-03-13,2013-07-13,5065.525581
F733,RIEGO,2013-03-13,2013-07-13,4504.12907
F733,RIEGO,2013-03-13,2013-07-13,5267.4837210000005
F733,RIEGO,2013-03-13,2013-07-13,4596.216802
COLOMBIA XXI,RIEGO,2008-10-21,2009-02-21,10750.0
F2000,RIEGO,2012-08-09,2012-12-10,6488.05
F2000,RIEGO,2012-08-09,2012-12-10,6062.972674000001
F2000,RIEGO,2012-08-09,2012-12-10,8043.251163
F2000,RIEGO,2012-08-09,2012-12-10,5577.746512
F50,RIEGO,2012-09-06,2013-01-07,4437.584302
F50,RIEGO,2012-09-06,2013-01-07,4357.046512
F50,RIEGO,2012-09-06,2013-01-07,3844.0093020000004
F50,RIEGO,2012-09-06,2013-01-07,3812.9284880000005
F50,RIEGO,2013-02-21,2013-06-24,4817.6965119999995
F50,RIEGO,2013-02-21,2013-06-24,5649.982558
F50,RIEGO,2013-02-21,2013-06-24,4774.491279
F50,RIEGO,2013-02-21,2013-06-24,4871.938372
F50,RIEGO,2013-04-02,2013-08-03,5997.920494
F50,RIEGO,2013-04-02,2013-08-03,5725.207558
F50,RIEGO,2013-04-02,2013-08-03,4861.355669
F50,RIEGO,2013-04-02,2013-08-03,4666.046512
F60,RIEGO,2012-08-09,2012-12-10,6555.5563950000005
F60,RIEGO,2012-08-09,2012-12-10,6367.583721
F60,RIEGO,2012-08-09,2012-12-10,5868.991279
F60,RIEGO,2012-08-09,2012-12-10,5769.976744
F60,RIEGO,2012-09-06,2013-01-07,4573.9040700000005
F60,RIEGO,2012-09-06,2013-01-07,3452.805233
F60,RIEGO,2012-09-06,2013-01-07,5134.426743999999
F60,RIEGO,2012-09-06,2013-01-07,3881.7514530000003
F733,RIEGO,2012-08-09,2012-12-10,7167.776744
F733,RIEGO,2012-08-09,2012-12-10,8781.666279000001
F733,RIEGO,2012-08-09,2012-12-10,4763.155814
F733,RIEGO,2012-08-09,2012-12-10,6808.295348999999
N.n.,RIEGO,2007-02-24,2007-06-28,6625.0
F50,RIEGO,2011-04-01,2011-08-03,7194.767442
F50,RIEGO,2011-04-01,2011-08-03,7180.232558
F50,RIEGO,2011-04-01,2011-08-03,7434.593023
F50,RIEGO,2011-04-01,2011-08-03,7664.0988370000005
F50,RIEGO,2012-11-25,2013-03-29,3863.2267439999996
F50,RIEGO,2012-11-25,2013-03-29,4741.875
F50,RIEGO,2012-11-25,2013-03-29,5507.994186
F50,RIEGO,2012-11-25,2013-03-29,4732.5
F60,RIEGO,2012-01-06,2012-05-09,7373.643819
F60,RIEGO,2012-01-06,2012-05-09,6314.875153
F60,RIEGO,2012-01-06,2012-05-09,8715.514076000001
F733,RIEGO,2010-12-27,2011-04-30,8753.633721
F733,RIEGO,2010-12-27,2011-04-30,7843.023256
F733,RIEGO,2010-12-27,2011-04-30,6851.889534999999
F733,RIEGO,2010-12-27,2011-04-30,8942.296512
F733,RIEGO,2012-01-06,2012-05-09,5095.973378
F733,RIEGO,2012-01-06,2012-05-09,5420.379437
F733,RIEGO,2012-01-06,2012-05-09,6351.2239899999995
MOCARI,RIEGO,2012-01-06,2012-05-09,7885.1141370000005
MOCARI,RIEGO,2012-01-06,2012-05-09,7637.698898000001
